Topic Category,PDF,Text
total number of drug or alcohol terms mentioned,EHAC_LEGAL_-_Basic_Instructional_Program_Required_Instruction_Secondary__LEGAL.pdf,Education Code 28.002(r); 19 TAC 74.35(b) A district shall annually provide research-based instruction related to fentanyl abuse prevention and drug poisoning awareness to stu- dents in grades 6 through 12.
total number of drug or alcohol terms mentioned,EHAC_LEGAL_-_Basic_Instructional_Program_Required_Instruction_Secondary__LEGAL.pdf,"Health education that includes information about substance use and abuse, including youth substance use and abuse."
total number of health or treatment terms mentioned,EHAC_LEGAL_-_Basic_Instructional_Program_Required_Instruction_Secondary__LEGAL.pdf,An organization employing mental health professionals.
total number of drug or alcohol terms mentioned,EL_LEGAL_-_Campus_or_Program_Charters_LEGAL.pdf,Education Code 12.054 A charter shall be in the form and substance of a written contract signed by a board president and the chief operating officer of the campus or program for which the charter is granted.
number of times transfer or referral to juvenile justice program is mentioned,EL_LEGAL_-_Campus_or_Program_Charters_LEGAL.pdf,Education Code 12.057(c) A board may place on probation or revoke a charter it grants if the board determines that the campus or program: 1.
number of times transfer or referral to juvenile justice program is mentioned,EL_LEGAL_-_Campus_or_Program_Charters_LEGAL.pdf,Education Code 12.063 Each board that grants a charter shall adopt a procedure to be used for placing on probation or revoking a charter it grants.
number of times transfer or referral to juvenile justice program is mentioned,EL_LEGAL_-_Campus_or_Program_Charters_LEGAL.pdf,Education Code 12.064Liability Placement on Probation or Revocation Procedure
number of times any other terms are mentioned that relate to disciplinary approaches to student drug and alcohol use,FED_LEGAL_-_Attendance_Attendance_Enforcement_LEGAL.pdf,"Education Code 25.091(a), (b-1) A district shall adopt truancy prevention measures designed to ad- dress student conduct related to truancy in the school setting be- fore the student engages in conduct described by Family Code 65.003 and minimize the need for referrals to truancy court for con- duct described by Family Code 65.003(a)."
number of times restorative justice approaches or synonyms are mentioned,FED_LEGAL_-_Attendance_Attendance_Enforcement_LEGAL.pdf,"Refer the student to counseling, mediation, mentoring, a teen court program, community-based services, or other in-school or out-of-school services aimed at addressing the student’s truancy."
total number of drug or alcohol terms mentioned,FED_LEGAL_-_Attendance_Attendance_Enforcement_LEGAL.pdf,Mental health services; k. Alcohol and substance abuse prevention and treatment programs; l. Mentoring programs and services; m. Juvenile justice services and programs; n. Child welfare services and programs; o.
number of times transfer or referral to juvenile justice program is mentioned,FED_LEGAL_-_Attendance_Attendance_Enforcement_LEGAL.pdf,"One or more juvenile case managers who shall assist the court in administering the court’s juvenile docket and in super- vising the court’s orders in juvenile cases, and may provide prevention services to a child considered at risk of entering the juvenile justice system, and intervention services to juve- niles engaged in misconduct before cases are filed, excluding traffic offenses."
total number of health or treatment terms mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,"Specific interventions, including mental health or behavioral supports; 2."
number of times suspension or synonyms are mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,Out-of-school suspension; or 4.
total number of disciplinary terms mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,The student’s expulsion or removal to a disciplinary alterna- tive education program (DAEP) or a juvenile justice alterna- tive education program (JJAEP).
total number of drug or alcohol terms mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,"The superintendent shall ensure, to the greatest extent practicable, that the members appointed to each team have expertise in coun- seling, behavior management, mental health and substance use, classroom instruction, special education, school administration, school safety and security, emergency management, and law en- forcement."
number of times drug and alcohol use prevention programs are mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,"If a student in a special education program under Education Code Chapter 29, Subchapter A, is the subject of a threat assessment, the team conducting the assessment must include at least one per- son who has specific knowledge of the student's disability and the disability's manifestations and who is: 1."
"number of times health-services staff such as school nurses, social workers, psychologists, or substance use counselors are mentioned",FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,A clinical or master social worker licensed under Occupations Code Chapter 505; or 4.
"number of times health-services staff such as school nurses, social workers, psychologists, or substance use counselors are mentioned",FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,A licensed clinical or licensed master social worker; or 6.
total number of drug or alcohol terms mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,"A committee with oversight responsibility must include members with expertise in hu- man resources, education, special education, counseling, behavior management, school administration, mental health and substance use, school safety and security, emergency management, and law enforcement."
total number of health or treatment terms mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,Referring a student for mental health assessment; and b.
total number of health or treatment terms mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,A team may not provide a mental health-care service to a student who is under 18 years of age unless the team obtains written con- sent from the parent of or the person standing in parental relation to the student before providing the mental health-care service.
number of times drug and alcohol use prevention programs are mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,A team identifying a student at risk of suicide shall act in accor- dance with the district’s suicide prevention program.
number of times drug and alcohol use prevention programs are mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,"If the student at risk of suicide also makes a threat of violence to others, the team shall conduct a threat assessment in addition to actions taken in accordance with the district’s suicide prevention program."
total number of drug or alcohol terms mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,"A team identifying a student using or possessing tobacco, drugs, or alcohol shall act in accordance with district policies and procedures related to substance use prevention and intervention."
number of time transfer or referral to disciplinary alternative school is mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,"Education Code 37.115(j-1) [For information regarding the transfer of threat assessment records between school districts, see FD and FDA.]"
total number of disciplinary terms mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,"Any disciplinary action taken, including a change in school placement; b."
total number of health or treatment terms mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,"Any action taken by law enforcement; or c. A referral to or change in counseling, mental health, spe- cial education, or other services; 4."
number of times trauma-informed care or synonyms are mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,"A best-practices program or research-based practice un- der Education Code 38.351 [see FFEB], including the number and percentage of school personnel trained in suicide prevention or grief and trauma-informed prac- tices; b."
total number of health or treatment terms mentioned,FFB_LEGAL_-_Student_Welfare_Crisis_Intervention_LEGAL.pdf,Mental health or psychological first aid for schools; c. Training relating to the safe and supportive school pro- gram; or d. Any other program relating to safety identified by the commissioner.
total number of drug or alcohol terms mentioned,FMA_LEGAL_-_Student_Activities_School-Sponsored_Publications_LEGAL.pdf,"Might reasonably be perceived to advocate drug or alcohol use, irresponsible sex, or conduct otherwise inconsistent with the shared values of a civilized social order."
total number of drug or alcohol terms mentioned,FNAA_LOCAL_-_Student_Expression_Distribution_of_Nonschool_Literature_LOCAL.pdf,"The materials promote illegal use of drugs, alcohol, or other controlled substances."
total number of disciplinary terms mentioned,FNAA_LOCAL_-_Student_Expression_Distribution_of_Nonschool_Literature_LOCAL.pdf,"Failure to comply with this policy regarding distribution of non- school literature shall result in appropriate administrative action, in- cluding but not limited to confiscation of nonconforming materials, suspension of a noncurriculum-related student group’s use of Dis- trict facilities, and/or other disciplinary action in accordance with the Student Code of Conduct."
total number of drug or alcohol terms mentioned,FNCF_LEGAL_-_Student_Conduct_Alcohol_and_Drug_Use_LEGAL.pdf,Edu- cation Code 38.007(a) A board shall attempt to provide a safe alcohol-free environment to students coming to or going from school.
total number of drug or alcohol terms mentioned,FNCF_LEGAL_-_Student_Conduct_Alcohol_and_Drug_Use_LEGAL.pdf,A board may cooperate with local law enforcement officials and the Texas Alcoholic Beverage Commission in attempting to provide this environment and in enforcing the alcohol-free zone provisions in the Alcoholic Beverage Code.
